original_org_name,state,networks_im_sharing
Newton County MS SO,MS,South Portland ME PD
Seymour IN PD,IN,South Portland ME PD
Urbana OH PD,OH,South Portland ME PD
Norwell MA PD,MA,South Portland ME PD
Sioux City IA PD,IA,South Portland ME PD
Louisville Metro KY PD,KY,South Portland ME PD
Dodge County GA SO,GA,South Portland ME PD
Village of Clearview WV PD,WV,South Portland ME PD
Lebanon TN PD,TN,South Portland ME PD
Oxford MS PD,MS,South Portland ME PD
Thornton CO PD,CO,South Portland ME PD
Murfreesboro TN PD,TN,South Portland ME PD
Winterville NC PD,NC,South Portland ME PD
Richland County SC SO,SC,South Portland ME PD
Mauldin SC PD,SC,South Portland ME PD
Susquehanna Township PA PD,PA,South Portland ME PD
West Springfield MA PD,MA,South Portland ME PD
Roanoke VA PD,VA,South Portland ME PD
Harvey County KS SO,KS,South Portland ME PD
Forrest County MS SO,MS,South Portland ME PD
Norwood OH PD,OH,South Portland ME PD
Macon County MO SO,MO,South Portland ME PD
Cranston RI PD,RI,South Portland ME PD
Cedartown GA PD,GA,South Portland ME PD
New Britain Township PA PD,PA,South Portland ME PD
Essex County MA SO,MA,South Portland ME PD
Warminster Township PA PD,PA,South Portland ME PD
MAGLOCLEN RISS,,South Portland ME PD
Cumru PA PD,PA,South Portland ME PD
Seward County NE SO,NE,South Portland ME PD
Ohio County SO WV,WV,South Portland ME PD
Mequon WI PD,WI,South Portland ME PD
Waterville OH PD,OH,South Portland ME PD
University of South Florida FL PD,FL,South Portland ME PD
NE - Colfax Co SO,NE,South Portland ME PD
Oxford AL PD,AL,South Portland ME PD
Morrow GA PD,GA,South Portland ME PD
Glasgow KY PD,KY,South Portland ME PD
Harper County KS SO,KS,South Portland ME PD
Pinellas County FL SO,FL,South Portland ME PD
CO - Rangely PD,CO,South Portland ME PD
Iredell County NC SO,NC,South Portland ME PD
Nebraska State Patrol,,South Portland ME PD
Stow MA PD,MA,South Portland ME PD
Utah County UT SO - Vineyard PD,UT,South Portland ME PD
Pine Hill AL PD,AL,South Portland ME PD
Houston Arson Bureau TX,TX,South Portland ME PD
Sachse TX PD,TX,South Portland ME PD
Lexington NE PD,NE,South Portland ME PD
Ingalls IN PD,IN,South Portland ME PD
Union County GA SO,GA,South Portland ME PD
Fairfax OH PD,OH,South Portland ME PD
Georgetown SC PD,SC,South Portland ME PD
Blackshear GA PD,GA,South Portland ME PD
OK - Washita County SO,OK,South Portland ME PD
Fort Wayne IN PD,IN,South Portland ME PD
Ada County ID SO,ID,South Portland ME PD
Chaffee County CO SO,CO,South Portland ME PD
Granbury TX PD,TX,South Portland ME PD
Morehead KY PD,KY,South Portland ME PD
Cole County MO SO,MO,South Portland ME PD
Kingston MA PD,MA,South Portland ME PD
New Windsor Town NY PD,NY,South Portland ME PD
Upper Allen Township PA PD,PA,South Portland ME PD
Vienna VA PD,VA,South Portland ME PD
Kennesaw GA PD,GA,South Portland ME PD
Randolph MA PD,MA,South Portland ME PD
Silver Spring Township PA PD,PA,South Portland ME PD
Tipp City OH PD,OH,South Portland ME PD
Tewksbury MA PD,MA,South Portland ME PD
Sugar Notch Borough PA PD,PA,South Portland ME PD
Athens Township PA PD,PA,South Portland ME PD
Framingham MA PD,MA,South Portland ME PD
Wells ME PD,ME,South Portland ME PD (Flex)
